,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year
0,00141404,영풍제지,006740,Y,[기재정정]사업보고서 (2022.12),20230331004201,영풍제지,20230331,연,2023
1,00226316,호전실업,111110,Y,[기재정정]사업보고서 (2022.12),20230331003532,호전실업,20230331,연,2023
2,00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2022.12),20230331003463,금호에이치티,20230331,연,2023
3,00113225,대한제강,084010,Y,[기재정정]사업보고서 (2022.12),20230331003410,대한제강,20230331,연,2023
4,00116268,동성제약,002210,Y,[기재정정]사업보고서 (2022.12),20230331003352,동성제약,20230331,,2023
5,00149026,CS홀딩스,000590,Y,[기재정정]사업보고서 (2022.12),20230331002888,CS홀딩스,20230331,연,2023
6,00142883,우신시스템,017370,Y,[기재정정]사업보고서 (2022.12),20230331002732,우신시스템,20230331,연,2023
7,00796994,조선선재,120030,Y,[기재정정]사업보고서 (2022.12),20230331002546,조선선재,20230331,,2023
8,00143314,에이엔피,015260,Y,사업보고서 (2022.12),20230331001073,에이엔피,20230331,연,2023
9,00159971,KC그린홀딩스,009440,Y,[기재정정]사업보고서 (2022.12),20230331001047,KC그린홀딩스,20230331,연,2023
10,00121039,명문제약,017180,Y,[기재정정]사업보고서 (2022.12),20230331000352,명문제약,20230331,연,2023
11,01205329,크라운제과,264900,Y,[기재정정]사업보고서 (2022.12),20230331000007,크라운제과,20230331,,2023
12,00153126,크라운해태홀딩스,005740,Y,사업보고서 (2022.12),20230331000004,크라운해태홀딩스,20230331,연,2023
13,00428321,해태제과식품,101530,Y,사업보고서 (2022.12),20230330001815,해태제과식품,20230331,연,2023
14,00679314,동성케미컬,102260,Y,사업보고서 (2022.12),20230330001763,동성케미컬,20230330,연,2023
15,00980122,JB금융지주,175330,Y,[기재정정]사업보고서 (2022.12),20230330001609,JB금융지주,20230330,연,2023
16,00132354,쿠쿠홀딩스,192400,Y,[기재정정]사업보고서 (2022.12),20230330001467,쿠쿠홀딩스,20230330,연,2023
17,00163716,한창,005110,Y,사업보고서 (2022.12),20230330001135,한창,20230330,연,2023
18,00186559,콤텍시스템,031820,Y,사업보고서 (2022.12),20230330000235,콤텍시스템,20230330,연,2023
19,00589127,KEC,092220,Y,[기재정정]사업보고서 (2022.12),20230329001071,KEC,20230329,연,2023
20,00137207,유니켐,011330,Y,[기재정정]사업보고서 (2022.12),20230329000065,유니켐,20230329,연,2023
21,00145552,이수화학,005950,Y,[첨부정정]사업보고서 (2022.12),20230328001079,이수화학,20230328,연,2023
22,00105952,LS,006260,Y,[기재정정]사업보고서 (2022.12),20230328001040,LS,20230328,연,2023
23,00123718,부광약품,003000,Y,[기재정정]사업보고서 (2022.12),20230328001033,부광약품,20230328,연,2023
24,00145260,율촌화학,008730,Y,[기재정정]사업보고서 (2022.12),20230328000998,율촌화학,20230328,연,2023
25,00157399,한솔테크닉스,004710,Y,[기재정정]사업보고서 (2022.12),20230328000853,한솔테크닉스,20230328,연,2023
26,00123772,부국증권,001270,Y,[기재정정]사업보고서 (2022.12),20230328000107,부국증권,20230328,연,2023
27,00148920,조광페인트,004910,Y,[기재정정]사업보고서 (2022.12),20230327000842,조광페인트,20230327,연,2023
28,00152385,에이프로젠,007460,Y,사업보고서 (2022.12),20230327000820,에이프로젠,20230327,연,2023
29,00122056,미창석유공업,003650,Y,사업보고서 (2022.12),20230327000678,미창석유공업,20230327,연,2023
30,00131939,선도전기,007610,Y,[기재정정]사업보고서 (2022.12),20230327000475,선도전기,20230327,연,2023
31,00198697,일진디스플,020760,Y,[기재정정]사업보고서 (2022.12),20230327000330,일진디스플,20230327,연,2023
32,00369833,유니온머티리얼,047400,Y,[기재정정]사업보고서 (2022.12),20230324001267,유니온머티리얼,20230324,연,2023
33,00937324,한국타이어앤테크놀로지,161390,Y,[기재정정]사업보고서 (2022.12),20230324001266,한국타이어앤테크놀로지,20230324,연,2023
34,00687711,한국철강,104700,Y,[기재정정]사업보고서 (2022.12),20230324001254,한국철강,20230324,,2023
35,00138792,아시아나항공,020560,Y,[기재정정]사업보고서 (2022.12),20230324001243,아시아나항공,20230324,연,2023
36,00159740,KISCO홀딩스,001940,Y,[기재정정]사업보고서 (2022.12),20230324001226,KISCO홀딩스,20230324,연,2023
37,00356361,LG화학,051910,Y,[기재정정]사업보고서 (2022.12),20230324001178,LG화학,20230324,연,2023
38,00160047,한국앤컴퍼니,000240,Y,사업보고서 (2022.12),20230324001090,한국앤컴퍼니,20230324,연,2023
39,00688996,KB금융,105560,Y,[기재정정]사업보고서 (2022.12),20230324001073,KB금융,20230324,연,2023
40,00103510,인지컨트롤스,023800,Y,사업보고서 (2022.12),20230324001000,인지컨트롤스,20230324,연,2023
41,00136864,신원,009270,Y,[기재정정]사업보고서 (2022.12),20230324000944,신원,20230324,연,2023
42,00172936,동일산업,004890,Y,[기재정정]사업보고서 (2022.12),20230324000928,동일산업,20230324,연,2023
43,00111847,대원강업,000430,Y,[기재정정]사업보고서 (2022.12),20230324000880,대원강업,20230324,연,2023
44,00156150,하이트론씨스템즈,019490,Y,사업보고서 (2022.12),20230324000253,하이트론씨스템즈,20230324,,2023
45,00131850,SK증권,001510,Y,[기재정정]사업보고서 (2022.12),20230324000127,SK증권,20230324,연,2023
46,00126089,대유플러스,000300,Y,[기재정정]사업보고서 (2022.12),20230324000003,대유플러스,20230324,연,2023
47,00400857,에이블씨엔씨,078520,Y,사업보고서 (2022.12),20230323001542,에이블씨엔씨,20230323,연,2023
48,00193328,수산인더스트리,126720,Y,사업보고서 (2022.12),20230323001537,수산인더스트리,20230323,연,2023
49,00458234,아시아나IDT,267850,Y,사업보고서 (2022.12),20230323001532,아시아나IDT,20230323,,2023
50,00115287,동방,004140,Y,사업보고서 (2022.12),20230323001509,동방,20230323,연,2023
51,00125080,AK홀딩스,006840,Y,사업보고서 (2022.12),20230323001504,AK홀딩스,20230323,연,2023
52,00561866,락앤락,115390,Y,사업보고서 (2022.12),20230323001503,락앤락,20230323,연,2023
53,00145190,유화증권,003460,Y,사업보고서 (2022.12),20230323001499,유화증권,20230323,,2023
54,00406046,STX중공업,071970,Y,사업보고서 (2022.12),20230323001496,STX중공업,20230323,연,2023
55,00113562,롯데손해보험,000400,Y,사업보고서 (2022.12),20230323001495,롯데손해보험,20230323,,2023
56,00124151,부산주공,005030,Y,[기재정정]사업보고서 (2022.12),20230323001492,부산주공,20230323,,2023
57,00480950,이아이디,093230,Y,사업보고서 (2022.12),20230323001479,이아이디,20230323,연,2023
58,00113191,코리안리,003690,Y,사업보고서 (2022.12),20230323001465,코리안리,20230323,연,2023
59,00131780,SK네트웍스,001740,Y,[기재정정]사업보고서 (2022.12),20230323001453,SK네트웍스,20230323,연,2023
60,00190321,케이티,030200,Y,사업보고서 (2022.12),20230323001449,케이티,20230323,연,2023
61,00153126,크라운해태홀딩스,005740,Y,사업보고서제출기한연장신고서 (2022.12),20230323001414,크라운해태홀딩스,20230323,,2023
62,00414601,유니퀘스트,077500,Y,사업보고서 (2022.12),20230323001413,유니퀘스트,20230323,연,2023
63,00520887,비상교육,100220,Y,사업보고서 (2022.12),20230323001405,비상교육,20230323,연,2023
64,00273615,비케이탑스,030790,Y,사업보고서 (2022.12),20230323001395,비케이탑스,20230323,연,2023
65,01205329,크라운제과,264900,Y,사업보고서제출기한연장신고서 (2022.12),20230323001388,크라운제과,20230323,,2023
66,00557933,진도,088790,Y,사업보고서 (2022.12),20230323001387,진도,20230323,연,2023
67,00164645,HMM,011200,Y,사업보고서 (2022.12),20230323001372,HMM,20230323,연,2023
68,00108038,엔피씨,004250,Y,사업보고서 (2022.12),20230323001360,엔피씨,20230323,연,2023
69,00113544,대한화섬,003830,Y,사업보고서 (2022.12),20230323001351,대한화섬,20230323,,2023
70,00194947,한전산업,130660,Y,사업보고서 (2022.12),20230323001346,한전산업,20230323,연,2023
71,00651901,에어부산,298690,Y,사업보고서 (2022.12),20230323001342,에어부산,20230323,,2023
72,00219574,코스맥스비티아이,044820,Y,[첨부정정]사업보고서 (2022.12),20230323001338,코스맥스비티아이,20230323,연,2023
73,00145598,이연제약,102460,Y,사업보고서 (2022.12),20230323001335,이연제약,20230323,연,2023
74,01415892,제이알글로벌리츠,348950,Y,사업보고서 (2022.12),20230323001334,제이알글로벌리츠,20230323,연,2023
75,00193009,KH 필룩스,033180,Y,사업보고서제출기한연장신고서 (2022.12),20230323001312,KH 필룩스,20230323,,2023
76,00428321,해태제과식품,101530,Y,사업보고서제출기한연장신고서 (2022.12),20230323001310,해태제과식품,20230323,,2023
77,00163196,한일철강,002220,Y,[첨부정정]사업보고서 (2022.12),20230323001307,한일철강,20230323,연,2023
78,00147860,에스엠벡셀,010580,Y,사업보고서 (2022.12),20230323001300,에스엠벡셀,20230323,연,2023
79,00115977,아이에스동서,010780,Y,사업보고서 (2022.12),20230323001296,아이에스동서,20230323,연,2023
80,00163673,한진중공업홀딩스,003480,Y,사업보고서 (2022.12),20230323001291,한진중공업홀딩스,20230323,연,2023
81,00153393,태광산업,003240,Y,사업보고서 (2022.12),20230323001281,태광산업,20230323,연,2023
82,00120562,롯데지주,004990,Y,사업보고서 (2022.12),20230323001274,롯데지주,20230323,연,2023
83,00149804,대유에이텍,002880,Y,사업보고서 (2022.12),20230323001273,대유에이텍,20230323,연,2023
84,00134723,페이퍼코리아,001020,Y,사업보고서 (2022.12),20230323001248,페이퍼코리아,20230323,연,2023
85,00816544,토니모리,214420,Y,사업보고서 (2022.12),20230323001247,토니모리,20230323,연,2023
86,00365989,용평리조트,070960,Y,사업보고서 (2022.12),20230323001234,용평리조트,20230323,연,2023
87,00107598,남양유업,003920,Y,사업보고서 (2022.12),20230323001233,남양유업,20230323,연,2023
88,00114765,케이비아이동국실업,001620,Y,사업보고서 (2022.12),20230323001211,케이비아이동국실업,20230323,연,2023
89,00349097,케이티스카이라이프,053210,Y,사업보고서 (2022.12),20230323001208,케이티스카이라이프,20230323,연,2023
90,00144252,유니온,000910,Y,사업보고서 (2022.12),20230323001190,유니온,20230323,연,2023
91,00107613,이수페타시스,007660,Y,사업보고서 (2022.12),20230323001183,이수페타시스,20230323,연,2023
92,00135111,수산중공업,017550,Y,사업보고서 (2022.12),20230323001156,수산중공업,20230323,연,2023
93,00146296,일신석재,007110,Y,사업보고서 (2022.12),20230323001151,일신석재,20230323,,2023
94,00153339,태경산업,015890,Y,사업보고서 (2022.12),20230323001143,태경산업,20230323,연,2023
95,00138297,STX,011810,Y,사업보고서 (2022.12),20230323001138,STX,20230323,연,2023
96,00679314,동성케미컬,102260,Y,사업보고서제출기한연장신고서 (2022.12),20230323001092,동성케미컬,20230323,,2023
97,00109754,대림비앤코,005750,Y,사업보고서 (2022.12),20230323001091,대림비앤코,20230323,연,2023
98,00415646,드림텍,192650,Y,사업보고서 (2022.12),20230323001080,드림텍,20230323,연,2023
99,00117726,동양피스톤,092780,Y,사업보고서 (2022.12),20230323001067,동양피스톤,20230323,연,2023
100,00141477,영흥,012160,Y,사업보고서 (2022.12),20230323001061,영흥,20230323,연,2023
101,00113997,롯데에너지머티리얼즈,020150,Y,사업보고서 (2022.12),20230323001050,롯데에너지머티리얼즈,20230323,연,2023
102,00106119,금양,001570,Y,[기재정정]사업보고서 (2022.12),20230323001004,금양,20230323,연,2023
103,01497869,티와이홀딩스,363280,Y,사업보고서 (2022.12),20230323000986,티와이홀딩스,20230323,연,2023
104,00134565,이스타코,015020,Y,사업보고서 (2022.12),20230323000980,이스타코,20230323,,2023
105,00158149,한국쉘석유,002960,Y,사업보고서 (2022.12),20230323000970,한국쉘석유,20230323,,2023
106,00153755,태양금속공업,004100,Y,사업보고서 (2022.12),20230323000932,태양금속공업,20230323,연,2023
107,00233653,한국토지신탁,034830,Y,사업보고서 (2022.12),20230323000917,한국토지신탁,20230323,연,2023
108,00423690,삼성출판사,068290,Y,사업보고서 (2022.12),20230323000911,삼성출판사,20230323,,2023
109,00131197,서원,021050,Y,사업보고서 (2022.12),20230323000835,서원,20230323,,2023
110,00105156,극동유화,014530,Y,사업보고서 (2022.12),20230323000821,극동유화,20230323,연,2023
111,00107677,비비안,002070,Y,사업보고서 (2022.12),20230323000796,비비안,20230323,연,2023
112,00157070,한국단자공업,025540,Y,사업보고서 (2022.12),20230323000756,한국단자공업,20230323,연,2023
113,00585219,세원이앤씨,091090,Y,사업보고서제출기한연장신고서 (2022.12),20230323000745,세원이앤씨,20230323,,2023
114,00156354,지엠비코리아,013870,Y,사업보고서 (2022.12),20230323000704,지엠비코리아,20230323,연,2023
115,00174004,유성기업,002920,Y,[첨부정정]사업보고서 (2022.12),20230323000683,유성기업,20230323,연,2023
116,00127255,삼영,003720,Y,사업보고서 (2022.12),20230323000650,삼영,20230323,연,2023
117,00855093,선진,136490,Y,사업보고서 (2022.12),20230323000638,선진,20230323,연,2023
118,00108065,쎌마테라퓨틱스,015540,Y,사업보고서제출기한연장신고서 (2022.12),20230323000627,쎌마테라퓨틱스,20230323,,2023
119,00372873,KTis,058860,Y,사업보고서 (2022.12),20230323000613,KTis,20230323,,2023
120,00681142,쌍방울,102280,Y,사업보고서 (2022.12),20230323000589,쌍방울,20230323,연,2023
121,00109514,티웨이홀딩스,004870,Y,사업보고서 (2022.12),20230323000588,티웨이홀딩스,20230323,,2023
122,00671376,티웨이항공,091810,Y,사업보고서 (2022.12),20230323000581,티웨이항공,20230323,연,2023
123,00416654,유엔젤,072130,Y,사업보고서 (2022.12),20230323000494,유엔젤,20230323,연,2023
124,00160418,한국무브넥스,010100,Y,사업보고서 (2022.12),20230323000478,한국무브넥스,20230323,연,2023
125,00102618,계양전기,012200,Y,[기재정정]사업보고서 (2022.12),20230323000476,계양전기,20230323,연,2023
126,00173698,신일전자,002700,Y,사업보고서 (2022.12),20230323000459,신일전자,20230323,,2023
127,00128227,삼정펄프,009770,Y,사업보고서 (2022.12),20230323000457,삼정펄프,20230323,,2023
128,00130879,서울식품공업,004410,Y,사업보고서 (2022.12),20230323000423,서울식품공업,20230323,,2023
129,00112679,대창단조,015230,Y,사업보고서 (2022.12),20230323000406,대창단조,20230323,연,2023
130,00123781,부국철강,026940,Y,사업보고서 (2022.12),20230323000263,부국철강,20230323,,2023
131,00151863,청호ICT,012600,Y,사업보고서 (2022.12),20230323000135,청호ICT,20230323,연,2023
132,00134176,세우글로벌,013000,Y,[기재정정]사업보고서 (2022.12),20230323000056,세우글로벌,20230323,연,2023
137,00136776,제이준코스메틱,025620,Y,사업보고서 (2022.12),20230322001335,제이준코스메틱,20230322,연,2023
138,00146542,일정실업,008500,Y,사업보고서 (2022.12),20230322001314,일정실업,20230322,연,2023
139,00118521,진원생명과학,011000,Y,사업보고서 (2022.12),20230322001309,진원생명과학,20230322,연,2023
140,00181943,에스제이엠홀딩스,025530,Y,사업보고서 (2022.12),20230322001299,에스제이엠홀딩스,20230322,연,2023
141,00125974,삼부토건,001470,Y,사업보고서 (2022.12),20230322001271,삼부토건,20230322,연,2023
142,00939331,한국콜마,161890,Y,[기재정정]사업보고서 (2022.12),20230322001251,한국콜마,20230322,연,2023
143,00155355,풀무원,017810,Y,사업보고서 (2022.12),20230322001245,풀무원,20230322,연,2023
144,00706715,미원홀딩스,107590,Y,사업보고서 (2022.12),20230322001240,미원홀딩스,20230322,연,2023
145,00116949,DN오토모티브,007340,Y,[기재정정]사업보고서 (2022.12),20230322001200,DN오토모티브,20230322,연,2023
146,00112378,KR모터스,000040,Y,사업보고서 (2022.12),20230322001182,KR모터스,20230322,연,2023
147,00117230,TYM,002900,Y,사업보고서 (2022.12),20230322001174,TYM,20230322,연,2023
148,01009789,코스맥스,192820,Y,사업보고서 (2022.12),20230322001169,코스맥스,20230322,연,2023
149,00159254,한국전자홀딩스,006200,Y,사업보고서 (2022.12),20230322001138,한국전자홀딩스,20230322,연,2023
150,00113207,대한전선,001440,Y,사업보고서 (2022.12),20230322001136,대한전선,20230322,연,2023
151,00118451,동일제강,002690,Y,사업보고서 (2022.12),20230322001127,동일제강,20230322,,2023
152,00469799,이엔플러스,074610,Y,사업보고서 (2022.12),20230322001126,이엔플러스,20230322,연,2023
153,01108099,현대코퍼레이션홀딩스,227840,Y,사업보고서 (2022.12),20230322001117,현대코퍼레이션홀딩스,20230322,연,2023
154,00168331,국동,005320,Y,사업보고서 (2022.12),20230322001115,국동,20230322,연,2023
155,00481454,금호타이어,073240,Y,사업보고서 (2022.12),20230322001105,금호타이어,20230322,연,2023
156,00117267,동양생명,082640,Y,사업보고서 (2022.12),20230322001102,동양생명,20230322,연,2023
157,00156488,휴스틸,005010,Y,사업보고서 (2022.12),20230322001091,휴스틸,20230322,연,2023
158,01412822,솔루스첨단소재,336370,Y,사업보고서 (2022.12),20230322001089,솔루스첨단소재,20230322,연,2023
159,00162072,한신기계공업,011700,Y,사업보고서 (2022.12),20230322001080,한신기계공업,20230322,연,2023
160,00565154,이노션,214320,Y,사업보고서 (2022.12),20230322001078,이노션,20230322,연,2023
161,00453284,교촌에프앤비,339770,Y,사업보고서 (2022.12),20230322001068,교촌에프앤비,20230322,연,2023
162,00113535,대한해운,005880,Y,사업보고서 (2022.12),20230322001051,대한해운,20230322,연,2023
163,00144818,유유제약,000220,Y,사업보고서 (2022.12),20230322001027,유유제약,20230322,연,2023
164,00122825,인스코비,006490,Y,사업보고서 (2022.12),20230322001015,인스코비,20230322,연,2023
