,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year
0,00469799,이엔플러스,074610,Y,[기재정정]사업보고서 (2021.12),20220331003484,이엔플러스,20220331,연,2022
1,00127042,삼양통상,002170,Y,[기재정정]사업보고서 (2021.12),20220331003424,삼양통상,20220331,연,2022
3,00174527,화성산업,002460,Y,[기재정정]사업보고서 (2021.12),20220331003395,화성산업,20220331,연,2022
6,00138297,STX,011810,Y,[기재정정]사업보고서 (2021.12),20220331003200,STX,20220331,연,2022
7,00132354,쿠쿠홀딩스,192400,Y,[기재정정]사업보고서 (2021.12),20220331002932,쿠쿠홀딩스,20220331,연,2022
8,00622787,바이오노트,377740,Y,사업보고서 (2021.12),20220331002923,바이오노트,20220331,연,2022
9,00141875,사조오양,006090,Y,[기재정정]사업보고서 (2021.12),20220331002835,사조오양,20220331,,2022
10,00555874,제주항공,089590,Y,[기재정정]사업보고서 (2021.12),20220331002829,제주항공,20220331,연,2022
11,00163691,유수홀딩스,000700,Y,[기재정정]사업보고서 (2021.12),20220331002815,유수홀딩스,20220331,연,2022
12,00226316,호전실업,111110,Y,[기재정정]사업보고서 (2021.12),20220331002749,호전실업,20220331,연,2022
13,00248974,하나제약,293480,Y,[기재정정]사업보고서 (2021.12),20220331002435,하나제약,20220331,,2022
14,00152385,에이프로젠,007460,Y,사업보고서 (2021.12),20220331001224,에이프로젠,20220331,연,2022
15,00121039,명문제약,017180,Y,[기재정정]사업보고서 (2021.12),20220331000338,명문제약,20220331,연,2022
16,00132628,성문전자,014910,Y,사업보고서 (2021.12),20220331000062,성문전자,20220331,연,2022
17,00142883,우신시스템,017370,Y,사업보고서 (2021.12),20220331000022,우신시스템,20220331,연,2022
18,00481454,금호타이어,073240,Y,[기재정정]사업보고서 (2021.12),20220330001690,금호타이어,20220330,연,2022
19,00172291,더존비즈온,012510,Y,[기재정정]사업보고서 (2021.12),20220330001628,더존비즈온,20220330,연,2022
20,01267684,쿠쿠홈시스,284740,Y,[기재정정]사업보고서 (2021.12),20220330001375,쿠쿠홈시스,20220330,연,2022
21,00134723,페이퍼코리아,001020,Y,[기재정정]사업보고서 (2021.12),20220330001348,페이퍼코리아,20220330,연,2022
22,00102113,경인양행,012610,Y,[기재정정]사업보고서 (2021.12),20220330000263,경인양행,20220330,연,2022
23,00172185,남성,004270,Y,사업보고서 (2021.12),20220329001016,남성,20220329,연,2022
24,00127802,삼익THK,004380,Y,[기재정정]사업보고서 (2021.12),20220329000395,삼익THK,20220329,,2022
25,00632304,JW홀딩스,096760,Y,사업보고서 (2021.12),20220329000006,JW홀딩스,20220329,연,2022
27,00225706,JW생명과학,234080,Y,사업보고서 (2021.12),20220328001123,JW생명과학,20220329,연,2022
28,00112970,대한방직,001070,Y,[기재정정]사업보고서 (2021.12),20220328001072,대한방직,20220328,연,2022
29,00186559,콤텍시스템,031820,Y,사업보고서 (2021.12),20220328001029,콤텍시스템,20220328,연,2022
30,00106368,금호석유화학,011780,Y,[기재정정]사업보고서 (2021.12),20220328000826,금호석유화학,20220328,연,2022
31,00166272,화승코퍼레이션,013520,Y,[첨부정정]사업보고서 (2021.12),20220328000684,화승코퍼레이션,20220328,연,2022
32,00109806,삼일씨엔에스,004440,Y,[기재정정]사업보고서 (2021.12),20220328000445,삼일씨엔에스,20220328,연,2022
33,00557933,진도,088790,Y,[기재정정]사업보고서 (2021.12),20220328000433,진도,20220328,연,2022
34,00116268,동성제약,002210,Y,[기재정정]사업보고서 (2021.12),20220328000201,동성제약,20220328,,2022
35,00159254,한국전자홀딩스,006200,Y,사업보고서 (2021.12),20220325001334,한국전자홀딩스,20220328,연,2022
36,00146542,일정실업,008500,Y,사업보고서 (2021.12),20220325001322,일정실업,20220325,연,2022
37,00688996,KB금융,105560,Y,[기재정정]사업보고서 (2021.12),20220325001281,KB금융,20220325,연,2022
38,00172936,동일산업,004890,Y,[기재정정]사업보고서 (2021.12),20220325001115,동일산업,20220325,연,2022
