,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,year
13,00544452,이리츠코크렙,088260,Y,[기재정정]사업보고서 (2021.12),20220527000625,이리츠코크렙,20220527,연,2022
14,00679314,동성케미컬,102260,Y,[기재정정]사업보고서 (2021.12),20220527000618,동성케미컬,20220527,연,2022
16,00104698,LS네트웍스,000680,Y,[기재정정]사업보고서 (2021.12),20220519000247,LS네트웍스,20220519,연,2022
17,00153126,크라운해태홀딩스,005740,Y,[기재정정]사업보고서 (2021.12),20220518000298,크라운해태홀딩스,20220518,연,2022
18,00112378,KR모터스,000040,Y,[기재정정]사업보고서 (2021.12),20220518000138,KR모터스,20220518,,2022
20,00273615,비케이탑스,030790,Y,사업보고서 (2021.12),20220516002703,비케이탑스,20220516,연,2022
21,00105606,금호에이치티,214330,Y,[기재정정]사업보고서 (2021.12),20220516002226,금호에이치티,20220516,연,2022
22,00356370,LG생활건강,051900,Y,[기재정정]사업보고서 (2021.12),20220516002048,LG생활건강,20220516,연,2022
23,00110893,대신증권,003540,Y,[기재정정]사업보고서 (2021.12),20220516001812,대신증권,20220516,연,2022
24,00159193,한국전력공사,015760,Y,[기재정정]사업보고서 (2021.12),20220516001505,한국전력공사,20220516,연,2022
25,00108065,쎌마테라퓨틱스,015540,Y,사업보고서 (2021.12),20220516000649,쎌마테라퓨틱스,20220516,연,2022
26,00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2021.12),20220516000217,한화시스템,20220516,연,2022
27,00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2021.12),20220512000853,셀트리온,20220512,연,2022
33,00132637,동원시스템즈,014820,Y,[기재정정]사업보고서 (2021.12),20220510000724,동원시스템즈,20220510,연,2022
43,00138242,KG모빌리티,003620,Y,[기재정정]사업보고서 (2021.12),20220427000218,KG모빌리티,20220427,연,2022
45,00838500,엘브이엠씨,900140,Y,사업보고서 (2021.12),20220426000496,엘브이엠씨,20220426,연,2022
51,00400857,에이블씨엔씨,078520,Y,사업보고서 (2021.12),20220415000633,에이블씨엔씨,20220415,연,2022
52,00161383,한미반도체,042700,Y,[기재정정]사업보고서 (2021.12),20220415000576,한미반도체,20220415,연,2022
53,00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2021.12),20220412002470,씨티알모빌리티,20220412,연,2022
54,00687711,한국철강,104700,Y,[기재정정]사업보고서 (2021.12),20220412002260,한국철강,20220412,,2022
55,00107598,남양유업,003920,Y,[첨부정정]사업보고서 (2021.12),20220408002890,남양유업,20220408,연,2022
56,00129989,코스모신소재,005070,Y,[기재정정]사업보고서 (2021.12),20220408002366,코스모신소재,20220408,,2022
57,00102618,계양전기,012200,Y,사업보고서 (2021.12),20220407002814,계양전기,20220407,연,2022
58,00353878,다스코,058730,Y,[기재정정]사업보고서 (2021.12),20220405002851,다스코,20220405,연,2022
59,00131780,SK네트웍스,001740,Y,[기재정정]사업보고서 (2021.12),20220404002305,SK네트웍스,20220404,연,2022
60,00114154,덕양산업,024900,Y,[기재정정]사업보고서 (2021.12),20220404002273,덕양산업,20220404,연,2022
